R,RDes,P,PDes,Y,YDes,FaultIn
0.06074185,6.639679,0.006306698,-0.543767,-0.02820423,-0.003002027,0
0.06193146,6.639163,-0.001023251,-0.5432906,-0.02912658,-0.00141993,0
0.02085004,6.641817,0.02774846,-0.545682,-0.04712025,-0.00265301,0
0.01262802,6.642995,0.02186874,-0.5482424,0.01279444,-0.001213731,0
-0.001337681,6.646719,0.009652387,-0.5466899,-0.00366957,-0.001960443,0
0.00403481,6.649401,0.005835322,-0.5480082,0.03462693,-0.000864428,0
-0.001891797,6.645932,-0.01967335,-0.548952,0.02020624,-0.002005829,0
0.003132406,6.648042,0.002411598,-0.5485781,-0.002558837,-0.001979984,0
0.04040137,6.644818,-0.02687804,-0.5500754,-0.0209361,-0.001974088,0
0.02962648,6.645227,-0.007673654,-0.5551173,-0.04239771,-0.002930759,0
0.05213883,6.647875,-0.01104271,-0.5587701,-0.05529962,-0.001625524,0
-0.0003448339,6.648912,0.01722611,-0.5582663,-0.109329,-0.003227033,0
-0.04274685,6.651613,0.04492882,-0.5555128,-0.1326748,-0.003841188,0
0.08698195,6.65202,0.02054926,-0.5674443,0.1207328,0.00116018,0
0.06529228,6.647066,-0.08646384,-0.5711408,0.09901974,0.0009594793,0
0.03808391,6.635985,-0.1322989,-0.5712065,-0.07734971,-0.004848938,0
0.07348705,6.64492,0.07710731,-0.5720169,-0.08983581,-0.001550848,0
-0.03109351,6.634196,0.0305351,-0.5654436,-0.08726865,-0.00204735,0
0.03773184,6.641654,0.1568351,-0.5718007,0.01978672,0.0009554556,0
-0.03015352,6.635867,-0.03496576,-0.5656785,-0.03960141,-0.001547353,0
-0.08599482,6.633064,-0.04115597,-0.55426,-0.1761998,-0.001888739,0
0.1068186,6.635453,-0.0115337,-0.5655403,0.1672847,0.002819867,0
0.1103423,6.628458,-0.09383123,-0.5717933,0.3461876,0.004632955,0
-0.0599336,6.628469,-0.001528792,-0.5649659,-0.2114467,-0.005416422,0
-0.281021,6.619147,-0.1414735,-0.5352485,-0.586162,-0.007540057,0
0.2400569,6.609984,-0.2032805,-0.55525,0.2884527,0.008566152,0
-0.2513733,6.60726,-0.05383183,-0.5521505,0.8343115,0.008158294,0
0.1059517,6.595537,-0.2366749,-0.5614565,0.3506314,0.01135663,0
0.6234637,6.598312,-0.05003845,-0.5653937,0.3421888,0.002438185,0
0.1662696,6.605951,0.02177914,-0.5396576,-0.9007655,-0.01408408,0
-1.358821,6.619583,0.3400179,-0.438713,0.1617727,0.005934542,0
-1.688063,6.60277,0.3923616,-0.4349595,0.01764557,-0.006205504,0
0.4834346,6.67367,0.2184236,-0.5008672,1.069104,0.01706065,0
1.14534,6.623719,0.001663272,-0.5219979,-0.9843055,-0.005282616,0
-1.886609,6.638112,0.2373698,-0.4235441,0.6290768,-0.005343594,0
-1.384302,6.636694,0.03707232,-0.4215423,-0.8256478,-0.006304632,0
1.565765,6.638897,0.6946837,-0.669683,-0.434389,-0.008901685,0
-1.038243,6.581933,-0.3346712,-0.422686,-0.3155676,0.00998455,0
-1.066774,6.622984,0.1962203,-0.46791,0.4818694,-0.0005209678,0
0.4065154,6.55287,-1.108236,-0.5745468,0.696493,0.009764619,0
