R,RDes,P,PDes,Y,YDes,FaultIn
-0.02206363,8.15486,0.01384431,14.21852,0.02269306,0.2213803,0
-0.0305622,8.153417,0.01388901,14.2194,0.03425609,0.221629,0
0.005756798,8.15406,-0.01452265,14.21879,0.01900314,0.2203691,0
0.005452699,8.157021,0.01723956,14.21717,0.07260241,0.2212115,0
-0.06120903,8.159679,-0.002918041,14.21942,-0.03235567,0.2192602,0
-0.01831766,8.158854,-0.01476942,14.22404,0.0271715,0.2201537,0
-0.01060237,8.159087,0.01619408,14.22202,0.0009690909,0.2199325,0
0.006644471,7.647521,0.03485795,14.21981,-0.004619163,0.2247204,0
0.03027475,8.163507,0.002625895,14.21872,-0.005795569,0.2203915,0
-0.01018546,8.156077,-0.06101897,14.21895,0.02493383,0.2200827,0
0.06938514,8.157293,-0.008201211,14.20863,-0.05475215,0.2202221,0
-0.00101597,8.156769,-0.02339811,14.21283,-0.01611522,0.2196495,0
-0.0003662789,8.15655,-0.02003031,14.2128,-0.05976808,0.2178466,0
-0.01557543,8.158752,0.04649739,14.2106,-0.03008134,0.2192704,0
0.0346978,8.154922,-0.05428009,14.20717,0.06029427,0.2208015,0
-0.02858465,8.159887,0.01612803,14.20895,-0.03704887,0.2189604,0
-0.01827835,8.150516,-0.1339077,14.21477,-0.08137868,0.2157208,0
0.04468403,8.156369,0.03026373,14.20832,-0.1612768,0.2177634,0
0.01581689,8.165998,0.1344692,14.21077,0.006393787,0.2187004,0
0.07123969,8.162675,0.04213931,14.20445,0.2434259,0.2222186,0
0.08090536,8.164379,0.02132662,14.19108,0.1902902,0.2213123,0
-0.07468357,8.166066,-0.01433488,14.19513,-0.2689525,0.2154192,0
-0.2269911,8.153221,-0.1422334,14.22363,-0.4818905,0.2124135,0
0.1175048,7.633605,0.06206706,14.21823,0.1117031,0.2280926,0
0.3170167,8.170212,0.1170407,14.18132,0.3831787,0.2233224,0
-0.3426813,8.177063,0.03905338,14.20881,-0.07842337,0.2167124,0
0.06519327,8.17311,0.06019153,14.22,0.8041373,0.2295768,0
0.5798828,8.214115,0.2132186,14.16692,-0.2382238,0.2101327,0
0.1858422,8.161165,-0.01119123,14.19967,-0.2032575,0.2149988,0
-0.2166422,8.132717,-0.5965254,14.2033,0.2344897,0.2280835,0
-0.0978514,8.158957,-0.1918121,14.23603,0.3243045,0.2261706,0
0.04512563,8.230259,0.5377686,14.21346,-0.1084215,0.2070172,0
0.08591525,8.131804,-0.8442962,14.19539,-0.4565385,0.2165319,0
-0.2350229,8.141292,-0.24195,14.20498,-0.4303455,0.2123618,0
0.2711132,8.218606,0.1636895,14.28518,1.115039,0.2378761,0
-0.5355591,8.216048,0.4914363,14.26959,0.3013439,0.2212657,0
0.6748867,8.186519,-0.1197013,14.14709,-0.2924208,0.2052461,0
-0.01611832,8.170044,-0.3003239,14.16683,-0.7059424,0.2086157,0
-0.5788796,8.144848,-0.413971,14.26878,-0.2553803,0.2079834,0
0.7223765,7.630723,-0.2263068,14.19238,-0.2675259,0.2263473,0
0.1661412,8.161478,-0.150075,14.19065,-0.6440661,0.2089736,0
-1.324516,8.176307,0.3207579,14.27086,1.070457,0.2347407,0
1.001495,8.150936,-0.3540272,14.21734,0.01030264,0.2123904,0
-0.5965509,8.218465,0.8503805,14.26287,0.002295482,0.2122803,0
-0.6000087,8.157415,-0.5916276,14.26409,-0.2430802,0.2203155,0
0.3918019,8.155691,-0.4419805,14.14391,-0.5550335,0.199693,0
-0.5945773,8.16384,-1.027175,14.26734,-0.1313691,0.2142137,0
0.7046396,8.261896,1.949877,14.17244,0.3814717,0.2152489,0
-0.06628337,8.196642,-0.5972839,14.16656,0.4243173,0.2142367,0
-0.7167032,8.74244,1.094184,14.28336,0.03283673,0.2178018,0
-0.1129169,8.721076,0.2341474,14.26429,-0.2515764,0.2055821,0
-0.5394872,9.220347,0.5151785,14.2662,0.1326703,0.2153072,0
0.5742803,14.40832,0.2989571,14.15725,-0.7714929,0.1549833,0
-0.696616,15.50531,0.7360033,14.21655,0.5774491,0.1580331,0
0.7425128,15.44732,-0.05576402,14.15488,0.3030726,0.1639476,0
0.5760735,15.39467,-0.2321461,14.14704,-0.1107037,0.1558326,0
-1.06806,15.39294,-0.2146152,14.27573,0.2386862,0.1555549,0
0.03634164,14.8997,0.9355956,14.24613,-0.01977661,0.1799726,0
-1.187016,14.79191,-1.43313,14.29522,-0.02194681,0.1634468,0
1.022116,11.35303,1.517744,14.10542,0.07169285,0.189584,0
0.2707942,11.2082,-0.821707,14.19183,0.03435905,0.1937537,0
-0.7752242,9.680925,0.127535,14.19218,0.1289068,0.1982376,0
0.727259,8.666605,-0.472406,14.14219,-0.1414431,0.2161227,0
-0.4800265,8.129958,-0.2983093,14.22617,0.0514016,0.2202906,0
0.4080159,7.181348,1.271031,14.05194,-0.2363314,0.2101874,0
-0.6911681,7.152112,0.2698329,14.24536,-0.2199826,0.217313,0
-0.5582449,4.49758,-0.9989871,14.21504,-0.01423985,0.2442873,0
0.2519709,1.986586,0.2562568,14.13455,0.5781575,0.2883631,0
-0.0948052,1.898461,-0.6772168,14.20452,-0.1967722,0.2657946,0
0.5661853,-0.00521156,1.490373,14.16244,-0.3882234,0.2694553,0
0.2980081,-1.644203,0.2760817,14.15556,0.4425218,0.3159457,0
-0.2521869,-1.69973,-0.8330081,14.16542,-0.2922141,0.2862721,0
0.3230318,-1.67225,-0.5859326,14.14097,0.4426799,0.3064036,0
-0.6594123,-0.01766771,0.915849,14.25788,-0.1016878,0.2808726,0
-0.6737461,-0.1755686,-0.7877678,14.20848,-0.09243434,0.2916291,0
0.02724865,-0.07738928,1.303445,14.15029,0.2924938,0.2920058,0
0.7001017,0.4235258,0.1740147,14.10499,-0.606462,0.2743474,0
-0.2287715,0.5139155,1.434038,14.19001,0.1575436,0.2727956,0
0.1559487,0.3566892,0.08682496,14.15681,0.1899913,0.2850849,0
-0.2362207,0.3450381,-1.146554,14.10483,-0.2718932,0.2701434,0
0.2392088,0.9354883,0.1504366,14.12696,0.6186351,0.2910925,0
-0.3722877,6.125453,0.1672465,14.2336,-0.3674379,0.2316833,0
-0.8204727,8.632249,-0.6616815,14.18265,0.05926169,0.211274,0
0.616025,9.148241,-0.110628,14.08534,0.08292679,0.2027442,0
-0.09170012,14.96244,1.381726,14.14361,-0.1279144,0.1689932,0
-0.02697519,15.44182,-0.3212663,14.19354,-0.2487983,0.14972,0
0.3377238,15.88502,0.0008022022,14.17371,-0.06889325,0.1498318,0
-0.2763166,15.85081,-1.78586,14.18015,-0.1899492,0.1450948,0
-0.1535156,15.97875,0.89396,14.16462,0.09135631,0.1522432,0
0.115328,15.89533,-0.7859161,14.1765,0.1687118,0.167046,0
-0.8008668,15.88821,0.04605678,14.17988,-0.0867639,0.1513767,0
1.535034,15.88929,-1.18623,14.10466,0.2909273,0.1573498,0
-0.00361226,16.01839,1.720895,14.16368,-0.3443463,0.146938,0
0.2721051,15.9557,-0.1719794,14.15268,-0.06450933,0.1370658,0
-0.4244376,15.90775,-0.09710118,14.18379,0.6076812,0.1677514,0
0.4004705,15.90097,-1.075608,14.13356,-0.6908542,0.1337156,0
-0.7582996,16.00925,1.293631,14.18618,0.163145,0.1462876,0
0.1782232,15.91801,-0.4729238,14.15624,-0.1411361,0.1495446,0
-0.5912566,15.90581,0.06974798,14.1247,-0.00788062,0.1550873,0
0.07827785,15.9887,0.7882835,14.14915,0.1430566,0.1508277,0
0.1688179,15.43334,1.640946,14.07829,-0.1882183,0.1607632,0
-0.07720555,15.94865,-0.2525,14.17169,0.07438469,0.1432178,0
0.08978346,15.96146,0.7732612,14.0984,0.2706512,0.1642034,0
-0.2263776,15.8808,-0.8998083,14.14537,-0.1760827,0.1555737,0
-0.6734124,16.03773,1.716019,14.21702,-0.2351647,0.1466682,0
0.1768511,15.90161,-0.5745237,14.15098,0.183224,0.1634489,0
-0.5379675,15.91579,-0.069144,14.16918,-0.05427912,0.1521943,0
0.4277416,15.94569,0.7545136,14.09162,0.2339496,0.1629158,0
-0.3077043,16.03889,1.76649,14.19774,-0.03004635,0.149782,0
-0.3822601,15.85874,-0.5393703,14.16224,-0.2820436,0.1520751,0
0.723445,16.01966,0.8633897,14.10054,0.4320997,0.1534363,0
0.8031893,15.86755,-1.038131,14.05964,-0.5728831,0.1534523,0
-0.6684393,16.00402,-0.2326376,14.17997,-0.1852214,0.1453905,0
0.6357865,15.85239,-0.6428789,14.06824,0.38591,0.1649528,0
0.09148411,15.9028,-0.7367937,14.08636,-0.317599,0.1486207,0
-0.02664868,15.94451,1.156714,14.09602,0.3197079,0.1564447,0
0.3496697,15.46277,0.417767,14.17684,0.06997505,0.1581549,0
0.7987159,15.90405,0.1127502,14.04413,-0.1231486,0.1583925,0
1.830316,15.84756,-0.8350515,13.98324,-0.01358477,0.1473189,0
-0.4794405,15.84297,-0.5043065,14.09853,-0.07680566,0.1535583,0
0.2354877,15.81802,-2.498027,14.15936,-0.4123227,0.1476538,0
0.2186045,15.88122,0.09021965,14.1021,0.2749983,0.1506431,0
0.1292889,15.84632,-1.200405,14.13328,0.1549805,0.1604604,0
-1.753849,16.02527,1.429657,14.21979,-0.05845344,0.1401243,0
0.7940562,15.89007,-0.7507418,14.08543,0.1672639,0.1554756,0
0.2403819,15.92741,0.4201728,14.10866,-0.2309479,0.150616,0
0.1512351,15.95404,0.8585206,14.12202,0.2835362,0.1518718,0
-0.8685054,15.93975,1.372147,14.20438,0.06986223,0.157536,0
-0.1720413,15.78095,-1.959673,14.13833,-0.14042,0.1443201,0
0.666897,15.93991,0.8746082,14.08848,0.4368932,0.157995,0
0.005629083,15.85465,-0.9406256,14.11014,-0.3219266,0.1579125,0
-0.3294396,15.94491,-0.005320486,14.18416,0.129836,0.1618017,0
-0.03426563,15.35102,-0.155976,14.14256,0.01967376,0.1691342,0
0.5572246,15.85124,-0.6080031,14.11084,-0.2476884,0.1448679,0
-0.03554181,15.97202,1.416887,14.12518,0.04273901,0.1528051,0
-1.011107,15.97075,0.5518592,14.16529,0.1732664,0.1611131,0
-0.144469,15.87394,-0.4666841,14.16062,-0.2944647,0.1473288,0
0.03666933,15.87646,-0.1850956,14.13366,0.1760748,0.1628223,0
0.6483385,15.8444,-0.9452878,14.12328,-0.354359,0.1283953,0
-0.3716738,15.83587,0.1502282,14.16748,0.0005025247,0.1527549,0
0.1043829,15.83109,-0.3120607,14.14323,0.6682357,0.1661155,0
0.2948206,15.84669,-0.6102037,14.11223,-0.4040278,0.1506493,0
-0.4503438,15.93005,1.223504,14.1653,0.4175844,0.1559657,0
-0.03232036,15.88742,0.56397,14.10503,-0.1879447,0.1545675,0
0.01858369,15.83689,-0.005845567,14.13173,-0.2242987,0.1558773,0
-0.005173261,15.81475,-0.5767059,14.15505,0.2055519,0.1589904,0
-0.02297766,15.89514,0.1981222,14.15972,-0.549903,0.1483962,0
-0.0008739391,15.77911,-1.106488,14.13695,0.3590522,0.148475,0
0.3236614,15.35194,0.3810877,14.131,0.4169171,0.1639821,0
-0.1670285,15.80804,-1.179102,14.13456,-0.4346826,0.149865,0
-0.2811445,15.92104,1.499882,14.13093,-0.2141392,0.1370511,0
1.046942,15.83829,-0.2270444,14.08223,0.06149455,0.1585619,0
-0.6288415,15.8342,0.07278859,14.20307,-0.1570773,0.1490682,0
0.3851603,15.77761,-1.005489,14.09204,0.3312609,0.1633011,0
-0.09782849,15.89728,0.4978919,14.17167,0.03968329,0.1582656,0
0.1070579,15.81155,-0.9594115,14.14382,-0.5173468,0.1385387,0
-0.124087,15.85327,0.1043523,14.11623,0.5389904,0.1648645,0
-0.3963588,15.78459,-0.7274719,14.18778,-0.4403119,0.1464228,0
0.3265496,15.8501,0.8320305,14.12558,0.06978045,0.1493877,0
0.4731965,15.8208,-0.1859662,14.1345,0.1520421,0.1574254,0
-0.6973841,15.83366,-0.5694265,14.15258,-0.2736613,0.1568345,0
-0.3132959,15.93506,0.6097172,14.14429,0.1586185,0.143178,0
0.3482027,15.86339,0.7698235,14.15305,-0.4473327,0.1638897,0
-0.3243277,15.77633,-1.159662,14.15847,0.3066382,0.1636947,0
0.06350529,15.31666,0.3556888,14.14886,0.2227238,0.1590897,0
-0.3149147,15.83469,0.05648203,14.1666,-0.1877612,0.1566838,0
-0.2233131,15.82373,0.09216924,14.16709,-0.1561132,0.1507546,0
0.08954346,15.84484,-0.08484606,14.1356,0.02486373,0.1608775,0
-0.5914785,15.82283,-0.1864128,14.17698,-0.2107783,0.1562362,0
-0.3996557,15.90738,1.621173,14.1639,0.2088848,0.1609873,0
-0.15618,15.89238,0.3981937,14.1688,-0.2122404,0.1511942,0
-0.1617945,15.78685,-0.6702287,14.14542,-0.1398932,0.1457272,0
0.3293048,15.80647,-0.8740029,14.04913,0.1362241,0.1526264,0
0.3086082,15.96017,1.820766,14.13751,-0.04756144,0.1504172,0
0.5028024,15.84704,-0.7637944,14.07983,-0.6835898,0.1389692,0
-0.8549786,15.78231,0.2655841,14.18234,0.8517654,0.1735158,0
1.192829,15.84169,0.02359558,14.00979,0.127012,0.1413959,0
-1.341648,15.79036,-0.7532694,14.2646,-0.128633,0.1502409,0
2.009705,15.8883,1.591869,13.96318,-0.1635125,0.1457545,0
-3.330948,15.71291,-1.574394,14.35218,0.5001317,0.1643313,0
3.679008,17.42711,1.920738,11.6864,-0.4445726,45.24039,0
-1.578583,17.18985,-2.428628,12.23993,-2.707764,46.25342,0
1.374069,17.44501,0.5485511,11.70973,-4.448472,48.47161,0
0.4750926,17.39652,1.54389,11.89761,-3.933912,50.6789,0
-2.815393,17.34187,0.02620839,12.13548,0.5819925,53.04163,0
4.639132,17.20575,-1.557815,11.4004,2.759661,55.50787,0
-1.12358,16.95117,-4.625657,11.85044,3.58186,58.06944,0
3.463366,17.00516,-0.4371496,11.40653,3.061474,60.26746,0
-4.017866,17.58434,1.051113,11.77197,2.047441,63.06769,0
-2.091934,17.16849,-1.50653,11.54353,-1.183271,64.33027,0
2.477467,17.31983,1.488832,11.25838,-2.608465,65.47412,0
2.469085,17.31918,-0.3736528,11.53364,-3.145953,67.58832,0
1.957199,16.85623,-3.888079,11.1555,-2.40911,69.34846,0
-3.410226,16.51481,1.016501,11.51026,-1.831531,71.89841,0
0.8130198,17.11965,1.308221,11.27416,-1.667625,73.70131,0
1.190907,16.7385,-0.6634026,10.78935,-1.057789,75.89291,0
-6.113665,16.83398,0.05717639,11.27265,-0.0369361,78.15766,0
-2.780061,16.7914,-0.4873365,11.0168,0.59021,79.35169,0
-0.5942393,16.82822,1.045646,10.49662,0.989002,81.16113,0
0.4435465,16.69987,0.6460852,10.91889,0.5581284,82.69782,0
1.87248,16.62655,2.508613,10.51524,-2.589399,84.04229,0
-4.04906,16.38591,-1.716453,11.16566,-2.145251,84.63249,0
0.5967409,16.2987,0.1370501,10.70931,-1.978774,84.43406,0
-0.531911,16.04645,-3.897176,10.7785,-3.500786,84.3801,0
8.672722,15.89915,-0.548201,10.18292,-3.901166,84.97447,0
0.6705171,16.09867,3.331179,10.76043,0.06661106,83.93394,0
-1.190323,15.74116,0.7549985,11.26235,0.3343272,83.24847,0
-0.5235564,15.28107,-3.386913,10.98384,0.7197297,80.52035,0
-2.396868,14.9792,-4.19515,11.31674,-1.319837,77.09898,0
3.419221,14.12372,-4.506256,11.33779,-3.576806,69.41505,0
0.2097246,14.22205,-1.386786,11.69427,-2.476186,62.56083,0
-3.719514,14.18431,0.1070868,12.11069,-0.6505909,60.21944,0
