R,RDes,P,PDes,Y,YDes,FaultIn
-0.04611801,3.229397,-0.02295541,-1.172983,-0.07089974,-0.005371039,0
-0.0474468,3.228314,-0.01941175,-1.170463,-0.06682293,-0.005997346,0
-0.04477007,3.225262,-0.01177564,-1.166065,-0.04496015,-0.005835482,0
0.02336193,3.222971,-0.0261768,-1.16994,0.01654558,-0.004469444,0
-0.05243533,3.220906,-0.03195959,-1.16587,-0.03012819,-0.005055293,0
0.0009622545,3.217367,0.008320686,-1.166913,-0.06203518,-0.004308913,0
-0.009728882,3.21507,-0.01753298,-1.16589,0.02845115,-0.004302269,0
-0.03414959,2.695165,-0.01363012,-1.162564,-0.05800519,-0.005487154,0
0.008562723,3.206034,-0.03165718,-1.161336,-0.007110617,-0.00433817,0
0.02101173,3.207809,0.001994705,-1.163417,-0.01928439,-0.004475331,0
0.0001483699,3.210614,0.04519504,-1.163563,-0.09412094,-0.0051669,0
-0.01489614,3.211415,-0.002837938,-1.166734,-0.09008018,-0.005317595,0
-0.04173122,3.210359,-0.03906583,-1.166713,-0.1025388,-0.003549456,0
-0.06786806,3.206059,-0.01760918,-1.159635,0.03303993,-0.002295516,0
0.04738315,3.208759,-0.03482412,-1.164066,0.160716,-0.0008475985,0
0.03422555,3.232241,0.2368947,-1.164376,0.3581457,0.002731394,0
0.04008903,3.230369,0.2660518,-1.162103,0.2282029,-0.002674167,0
0.01321001,2.698164,-0.07843944,-1.174346,-0.6275107,-0.01385712,0
-0.1701206,3.220572,-0.09101718,-1.153118,-0.6957313,-0.01151138,0
-0.04255781,3.221937,0.009356004,-1.145847,-0.02837072,-0.0008857764,0
-0.02892766,3.228158,-0.01106856,-1.139669,0.4603781,0.004028861,0
0.3497989,3.211908,-0.157348,-1.180152,0.5671242,0.006560755,0
0.04720967,3.221481,0.04007184,-1.186857,0.09968127,-0.00128447,0
-0.1947777,3.215562,-0.04526698,-1.166491,-0.3637407,-0.01083778,0
-0.3565365,3.223969,0.07371669,-1.1302,-0.7121608,-0.01291235,0
-0.006246293,3.239232,0.1053569,-1.119782,-0.1707057,-0.002253645,0
0.7135234,3.240171,0.2037495,-1.183948,-0.08756217,-0.002883988,0
0.7291192,2.69264,0.1182081,-1.215482,0.6403708,0.0127137,0
-1.442587,3.243145,-0.01232191,-1.042491,0.57947,0.003942788,0
-0.5384861,3.19168,-0.175605,-1.120373,0.3818337,0.003402265,0
-0.8411683,3.120213,-0.2076544,-1.042417,-0.7659814,-0.01946754,0
0.9186412,3.207552,0.118443,-1.218856,0.2077927,0.002440636,0
-1.436472,3.223883,0.2009394,-1.041049,0.3676552,0.005739251,0
0.5003095,3.185354,-0.2683732,-1.20014,0.1337059,0.003257496,0
-0.4557325,3.131132,-0.5879569,-1.213938,-0.5391799,-0.01415884,0
-0.05890151,3.25392,0.4633498,-1.195608,-0.2242266,-0.01088417,0
-0.3233142,3.194539,0.1273018,-1.13964,-0.2079849,0.002894781,0
1.790201,3.254533,-0.001487767,-1.205403,0.4210148,0.003772125,0
-0.6913835,3.103491,-1.060644,-1.036095,-0.1058306,0.001651485,0
-1.488501,3.23173,-0.3826073,-1.168381,-0.3337463,-0.005565898,0
-0.1031918,3.263638,0.6583956,-1.201328,0.5358927,0.00197881,0
1.387824,3.273206,1.107543,-1.172333,-0.4249423,-0.006576654,0
0.7369307,3.159337,-0.5429754,-1.155602,0.3746855,0.003598675,0
-0.758405,3.249193,-0.379279,-1.128299,-0.3952856,-0.0006963281,0
-0.0006952479,3.211522,-0.1361097,-1.189445,0.1576237,-0.001981283,0
-0.03733449,3.249254,1.17689,-1.107242,0.06133201,-0.006045204,0
-0.3462251,3.270989,0.2637509,-1.150292,-0.2263128,-0.009545103,0
-0.2264767,3.132329,-0.8853316,-1.138884,0.3343094,-0.005081274,0
-0.81221,3.221056,0.3780908,-1.139629,-0.6179829,-0.01888313,0
0.2342611,3.214504,0.7133622,-1.176333,0.9086006,0.01132938,0
-0.2060407,3.229897,0.7595183,-1.136183,-0.2615654,0.003559181,0
0.3153163,3.171033,-0.4057689,-1.213224,-0.04562738,-0.01172263,0
-0.2220369,3.225479,0.2042288,-1.167733,0.6459729,0.01491949,0
0.8175638,3.285012,0.2328304,-1.223286,-0.4831209,-0.01304665,0
-0.9992221,3.317382,1.660227,-1.097169,0.2294801,0.005460691,0
-1.258759,3.242771,0.3555562,-1.076146,-0.5349974,-0.006195667,0
0.9473603,3.17743,-0.5992329,-1.3327,0.2801218,0.004962471,0
-0.8888453,3.357491,2.088773,-1.110771,0.7022457,0.01578431,0
-0.3054298,3.132659,-1.533439,-1.178661,0.02081064,-0.008337213,0
0.04481411,3.304347,1.174261,-1.169748,0.3432969,0.006730947,0
0.2067013,3.193989,-1.531914,-1.283608,-0.9032832,-0.009496639,0
-0.2588322,3.248085,0.6096698,-1.222173,0.1321396,0.00286984,0
0.7001811,3.301545,0.9536246,-1.21737,0.6841962,0.0212114,0
-0.9336587,3.207734,-0.4046302,-1.080643,-0.3215765,-0.004487778,0
0.7413041,3.265134,0.1396907,-1.176101,-0.003801296,0.006862317,0
0.3566455,3.213668,0.0002322694,-1.248594,-0.4637468,0.003062126,0
-0.7861461,3.335814,1.304223,-1.079287,0.4240355,0.004619609,0
0.8125823,3.248082,-0.2133836,-1.247556,-0.1618403,0.01180249,0
-0.7387475,3.304847,0.3803365,-1.091734,-0.189902,0.001215618,0
-0.1620879,3.3131,0.4319828,-1.188713,0.1358146,0.01363109,0
-0.09425395,3.301069,0.3853622,-1.194587,-0.1599353,0.002672576,0
0.2872594,3.283788,-0.1430734,-1.185438,0.3214433,-0.002200826,0
0.189247,3.240404,-1.133926,-1.224205,-0.1505255,0.01720071,0
-0.07249766,3.343111,0.1479977,-1.234782,-0.688864,-0.007289418,0
-0.5595573,3.297869,-0.6056905,-1.132622,0.2147403,0.01162752,0
-0.2481138,3.348143,0.9417688,-1.19285,0.05270919,0.01016797,0
0.2869605,3.355281,0.1123996,-1.234031,0.570743,-0.003111757,0
0.4222111,3.327152,-0.1632652,-1.233948,0.07393548,0.01579149,0
0.9461861,3.272893,-1.479326,-1.276818,-0.8713115,-0.009762439,0
-0.4228794,3.475526,0.004050888,-1.184432,0.4578362,-0.004264007,0
-0.08288273,2.817645,-0.3095163,-1.187597,0.1752499,0.01151681,0
-0.4381423,3.386575,0.2700404,-1.181304,0.02614609,-0.004139329,0
-0.490163,3.43458,0.2174586,-1.181992,0.3414121,0.003934127,0
0.7896255,3.391075,-0.1780538,-1.281966,-0.5272813,0.01455814,0
0.9692733,3.493174,0.9926205,-1.259175,0.04599806,-0.00721514,0
-0.8129056,3.389318,-0.6321144,-1.147025,-0.1986168,0.0009919718,0
-0.7738245,3.381412,-0.8625502,-1.167162,0.2661977,-0.005463544,0
-0.06733578,3.432262,0.1379643,-1.209918,0.6436712,0.01516517,0
0.3624434,3.512954,0.8246033,-1.180672,-0.1861237,-0.0006701485,0
0.200402,3.358783,-1.4688,-1.218876,0.03183742,0.0026957,0
0.1591567,3.052653,1.055937,-1.183619,0.01786449,0.005334679,0
-0.3048248,3.498566,-0.3994685,-1.170247,-0.7306604,-0.01482393,0
-0.1409648,3.5464,0.349321,-1.129407,0.3720104,0.003624443,0
-0.06135394,3.586807,0.2453936,-1.192582,0.02865214,-8.217267e-05,0
-0.2638484,3.51325,0.2562385,-1.121128,0.3696924,-0.004768884,0
0.2556376,3.553624,-0.3047379,-1.14372,-0.08364113,0.001680777,0
0.8509918,3.514073,-0.1160942,-1.197248,-0.4260708,-0.005507327,0
-0.6943294,3.641928,1.350659,-1.047386,0.2643286,-0.002686884,0
-0.06541637,3.540243,-1.031808,-1.072229,-0.1012608,-0.00326267,0
-0.5834572,3.506847,0.2947257,-1.073302,-0.03648928,0.00382786,0
0.322943,3.532961,-0.1004565,-1.110811,0.2341246,0.01147452,0
0.006904401,3.026403,0.3718835,-1.07731,0.09003884,-0.001023393,0
0.9700726,3.536972,0.8006399,-1.120133,0.03438092,0.005044509,0
-0.1035108,3.535068,0.3219171,-1.090482,-0.3090717,0.001665335,0
-1.074804,3.402288,-1.269252,-1.062154,0.02451059,-0.00437932,0
0.3972726,3.556269,0.6023561,-1.088521,0.5232589,0.01081428,0
-0.5392113,3.414923,-0.646852,-1.048617,-0.09637353,0.009914726,0
0.3029367,3.531126,0.6761305,-1.084128,0.1991576,0.003142129,0
0.1747328,3.501992,-0.5541427,-1.073256,-0.450326,-0.008747933,0
-0.04387564,3.467574,0.04064045,-1.085314,0.08707449,-0.01174499,0
0.7086746,3.53952,0.3177663,-1.130266,0.1989074,-0.00252725,0
-0.07035495,3.477208,-0.3649669,-1.111978,-0.4061095,-0.01490534,0
0.3419284,3.517953,-0.5826762,-1.09846,0.1262187,-0.002389925,0
-0.08952628,3.504098,1.046142,-1.08315,0.3820978,0.007891383,0
0.1498332,3.445879,-0.7633851,-1.068116,0.1644825,0.00933169,0
0.7135819,3.437061,-0.637582,-1.14142,-0.06270661,-0.008176745,0
0.4467591,3.534383,-0.2208262,-1.075851,-0.7027784,-0.01426819,0
-0.3674955,3.447845,-0.7709076,-1.063282,-0.1712809,-0.01334313,0
-0.7214298,3.525859,0.4133371,-1.044781,0.5489997,0.01181967,0
-0.3557625,3.585633,1.17553,-1.070684,-0.4396811,-0.01850755,0
-0.2644886,3.460973,0.2499023,-1.088015,0.3096031,0.0002955903,0
0.419381,3.412821,-0.4200032,-1.135278,-0.5073082,0.001777381,0
0.3536268,3.481392,-0.1151159,-1.142761,0.2538163,6.215335e-05,0
-0.303299,3.415889,-0.6393335,-1.067421,0.285727,0.004450815,0
0.2599605,3.440904,0.1339736,-1.12578,-0.6596952,-0.01098684,0
-0.8171763,3.578776,1.571421,-1.057631,0.2165768,-0.008001286,0
0.2223633,3.359818,-0.3777351,-1.147012,0.1265401,0.006933378,0
-0.6479435,3.468153,0.0239568,-1.082618,0.1612138,-0.01131476,0
1.26669,3.35779,-0.1890316,-1.228633,-0.03044591,0.003371092,0
-0.5612291,3.482484,-0.07246722,-1.107363,-0.8531582,-0.02332377,0
0.4091235,3.444206,0.5593351,-1.163695,0.7200903,0.01408341,0
-0.2228696,3.498316,0.02616635,-1.08422,-0.2209452,-0.01385062,0
-0.5750332,3.440086,-0.2876838,-1.071168,0.08742948,-0.004268166,0
-0.1794073,3.39613,-0.3211618,-1.136249,0.1107927,-0.001501426,0
0.5322602,3.442246,0.1423136,-1.186869,0.02906932,-0.002257531,0
0.07627383,3.506927,1.325627,-1.141763,0.5224344,-0.0001966356,0
0.3726302,3.374486,-1.099328,-1.118856,-0.2084941,0.005644923,0
-0.1020414,3.402765,-0.3276706,-1.146874,-0.5376596,-0.01138896,0
-0.9207231,3.495551,1.40832,-1.073944,0.1423942,-0.008069471,0
-1.381417,3.387977,0.2165009,-1.145081,0.2115169,0.01372201,0
0.6843808,3.448691,0.4347408,-1.11253,-0.1513827,-0.02808573,0
0.7978499,3.364508,-0.2925281,-1.180737,0.09788709,0.009381124,0
2.092968,3.390341,0.01497234,-1.198271,-0.08439557,-0.002800529,0
-3.551517,3.52931,1.642242,-1.023552,0.1214337,-0.007320529,0
3.735831,3.265115,-1.025672,-1.312816,-0.1566881,-0.01393818,0
-4.04978,3.395152,0.1391009,-0.7171038,-0.1904502,-0.010024,0
6.169663,3.201174,-0.0669103,-1.656483,0.8669615,0.01654763,0
-4.576526,3.329206,-0.8425501,-0.6482035,-0.03040347,-0.01523592,0
4.985717,3.215796,-1.279555,-1.520595,0.5558507,0.04369954,0
-5.127161,3.145732,-0.0106065,-1.294105,-0.5137555,-0.02731319,0
6.442512,3.156798,1.408658,-1.891945,1.903425,0.03580948,0
-4.126842,3.359872,-2.724228,-0.5555391,-1.427139,-0.02448895,0
7.572356,3.134004,-1.72201,-1.729165,-0.7535156,-0.01042333,0
-4.665908,3.07294,-0.4161079,-1.233019,1.61661,0.04003467,0
10.09661,3.033165,-1.967592,-1.738237,1.288707,0.06764663,0
-8.001707,3.076423,-4.295997,-0.6318193,-0.3531181,0.052304,0
2.623254,3.81065,7.982926,-1.351927,0.7460519,0.1308563,0
-11.32949,3.123726,3.686358,-0.7903733,-0.3054649,0.06367495,0
8.224678,2.671643,-5.221307,-0.7961231,-0.004104188,0.09518398,0
6.733165,2.502763,-2.535614,-1.815042,-0.3507494,0.1252557,0
3.187654,2.282253,-4.65149,-1.281603,-0.5863678,0.03331049,0
7.932972,2.385594,-1.899159,-1.428306,-1.626998,0.03069843,0
-2.004202,2.480042,1.499961,-0.9826372,0.2775142,0.03731775,0
-5.700397,2.4791,1.726846,-0.9112933,0.3064389,0.05946933,0
-1.732803,2.101255,2.903234,-0.6971835,1.361488,0.08134714,0
5.26649,2.341102,-0.9160473,-1.221264,0.4303305,0.08398837,0
0.9740823,2.385641,0.2013226,-0.8929104,-0.8446399,0.05038274,0
-4.466554,2.414894,5.503307,-0.8355623,-0.6643108,0.05673405,0
-5.643267,2.291856,1.316567,-0.8832403,0.3782415,0.07058964,0
7.148049,1.593382,-1.62502,-1.624898,-0.03287339,0.0241058,0
4.467685,1.719605,0.4447995,-1.604233,-0.5035133,0.01977271,0
-5.672385,1.94098,4.551388,-0.9956983,-0.5342892,-0.000890248,0
-1.731708,2.142298,1.95008,-0.808989,0.645829,-0.02878813,0
4.962875,0.9435186,-10.08476,-1.240479,-0.4991458,0.01124453,0
-1.643366,1.706474,-1.44728,-1.163602,-0.2381648,0.06027476,0
-8.576293,1.794906,1.158995,-0.5726008,1.110791,0.1171875,0
6.813967,1.563693,0.192097,-1.294337,0.2745661,0.1191974,0
6.366139,0.8330774,-11.62279,-1.476546,-1.894424,0.0481702,0
-4.478697,1.853432,2.705021,-0.7252338,-0.7788,0.06044196,0
3.180096,1.738764,2.146756,-1.482489,1.336834,0.1378856,0
0.8256566,1.513204,2.455105,-1.625732,1.134391,0.1036356,0
-1.164136,1.491066,-2.295295,-0.9418759,0.04938482,0.144493,0
4.658123,1.366311,-1.711834,-1.354184,-0.4502675,0.1824798,0
-1.032197,0.5333478,-1.14511,-1.131768,-1.775512,0.1890216,0
-3.234371,1.605264,2.515228,-0.7857824,0.5992813,0.2535521,0
1.52323,1.384448,0.8958814,-1.382035,-0.4363275,0.2156526,0
1.687213,0.855158,-7.284197,-1.420337,-1.382235,0.2106275,0
-6.591401,1.660562,3.083154,-0.5453056,-0.3915365,0.2498497,0
-0.5409845,1.274736,1.846997,-1.359222,1.30046,0.287808,0
0.2947147,1.350921,1.637631,-1.23853,0.7035868,0.3010431,0
-4.370629,1.534775,4.583688,-0.8509578,1.47887,0.349881,0
5.063068,0.814455,-2.084148,-1.919679,0.6185094,0.327348,0
