R,RDes,P,PDes,Y,YDes,FaultIn
0.03308124,-0.106299,-0.003002471,-1.700911,0.0413526,-0.0004480152,0
0.01972716,-0.1044826,0.01633934,-1.699469,0.0345691,-0.00116834,0
-0.007327744,0.4147948,0.03111444,-1.699614,0.005795688,-0.00142636,0
-0.01257217,-0.1045475,-0.01685342,-1.697679,0.03458417,-0.001785611,0
0.02237059,-0.1112711,-0.023169,-1.699387,-0.00835397,-0.0002837259,0
-0.007708968,0.4055136,0.01122606,-1.697373,-0.01332969,-0.0004284997,0
0.004361456,-0.1139503,-0.001639944,-1.699379,0.0308086,0.0003366382,0
-0.02538862,-0.1163022,-0.0064053,-1.694163,-0.02844823,-0.001110148,0
0.02338129,-0.1158636,-0.006492256,-1.692324,0.002324652,-0.002083801,0
0.05077925,-0.1137318,-0.004502623,-1.69123,0.03166971,-0.0002331126,0
0.05555575,0.4007142,-0.02913752,-1.690524,-0.02364694,-0.001231823,0
0.02890229,-0.1153621,-0.01522296,-1.689285,-0.1043527,-0.003264429,0
0.002986382,-0.1089423,0.07820382,-1.687993,-0.04247475,-0.001211306,0
-0.06600506,0.4117151,0.217175,-1.683091,0.08484273,0.0002452879,0
0.06031225,-0.1024436,0.01325371,-1.68279,-0.01354985,-0.002009111,0
0.03731151,-0.1188986,-0.2107356,-1.678304,-0.07803867,-0.003742612,0
-0.0155574,-0.1016171,0.004361515,-1.677036,-0.1173394,-0.00187014,0
0.009233525,0.4082194,0.06173872,-1.666033,-0.009096726,-0.002948214,0
0.005359477,0.4156243,0.07760318,-1.67062,0.1371301,0.0004577803,0
-0.008721025,-0.1047371,0.03386382,-1.668598,-0.006995917,-0.001765814,0
-0.04002803,0.4181943,0.003793436,-1.668818,-0.1750439,-0.00331719,0
-0.1784494,-0.1069549,-0.1113918,-1.653695,-0.1309405,-0.003946914,0
0.1772754,-0.08322258,0.1557832,-1.678032,0.3024425,0.002370581,0
0.08884027,0.4357056,0.1299577,-1.694025,0.1288121,-0.001144087,0
-0.07072741,0.4416356,-0.007985912,-1.684922,-0.3639234,-0.007089919,0
-0.1018597,-0.1002641,-0.1274794,-1.65332,0.1028865,-0.001354256,0
-0.1331119,-0.08906785,0.1205331,-1.656444,-0.8706105,-0.01760546,0
-0.2991706,-0.1021146,-0.2470752,-1.650356,-0.3041363,-0.00441641,0
-0.6406301,0.4221472,-0.2493302,-1.621577,1.086173,0.01282647,0
0.0628102,-0.05064587,0.3580588,-1.669476,0.5723011,0.004469277,0
