R,RDes,P,PDes,Y,YDes,FaultIn
0.01121701,-6.01641,0.0597568,-1.724944,0.0155485,0.002936449,0
0.007254967,-6.016508,0.05198797,-1.724787,0.01646183,0.002716034,0
0.04067652,-6.01147,0.05042497,-1.726929,-0.05411157,0.00214518,0
-0.01832897,-6.012189,0.01899562,-1.724269,0.02589688,0.00295192,0
0.02125428,-6.009348,-0.009910113,-1.727577,0.06025136,0.003294446,0
-0.01660744,-6.003316,0.05484213,-1.726344,-0.006286317,0.001865945,0
0.004584499,-6.004114,-0.02840342,-1.729171,-0.04192044,0.001869195,0
0.02971142,-6.003542,0.02963331,-1.732522,-0.006553716,0.002392485,0
0.04119457,-5.996562,0.05089878,-1.735218,0.008554729,0.003938417,0
0.0502841,-6.002035,-0.04981374,-1.742167,0.01667547,0.003132418,0
0.06976435,-6.002189,0.003009907,-1.751294,0.004874079,0.002655584,0
0.01955703,-5.997848,-0.01149996,-1.750276,-0.1006203,0.001258219,0
0.01582011,-6.003452,-0.08910836,-1.748832,0.09430085,0.0037372,0
0.04079522,-5.990543,0.09733897,-1.75963,0.1963895,0.006659777,0
-0.167869,-5.982149,0.1054894,-1.740595,-0.1780311,-0.002682644,0
-0.04184881,-5.978238,0.1040295,-1.748083,-0.2021234,0.001201708,0
-0.05717562,-5.968071,0.1937268,-1.748695,0.0115065,0.003806947,0
-0.04627898,-5.96452,0.2284885,-1.755139,0.1712295,0.004071346,0
-0.03115184,-6.487504,0.09208561,-1.752917,0.1424351,0.003136894,0
-0.04828433,-5.985026,-0.05452282,-1.748572,-0.150832,-0.0002441483,0
-0.1138628,-5.993121,-0.01342418,-1.738242,-0.2879853,-0.002259646,0
0.0813946,-6.508629,-0.019004,-1.745922,0.186868,0.00528683,0
0.2367332,-5.969729,0.08419286,-1.769866,0.4391102,0.006802502,0
0.05968854,-5.96346,-0.04737572,-1.782671,-0.07106951,-0.003020955,0
-0.4084269,-5.988358,-0.3168873,-1.741965,-0.7142879,-0.008183257,0
0.1384375,-5.991475,0.06492656,-1.730461,0.2805673,0.004394908,0
0.4537221,-5.942379,0.5902681,-1.779238,0.396122,0.003853203,0
0.2257545,-5.978283,-0.1741844,-1.800884,0.452138,0.01449752,0
-0.1964894,-6.439519,0.6951883,-1.74513,0.2122215,-0.003440604,0
-0.8034241,-6.016032,-0.9686904,-1.750084,-0.9564601,-0.009664336,0
0.9222812,-5.991167,0.1080075,-1.859176,-0.3253645,0.01336514,0
-0.0350084,-6.018425,-0.6501545,-1.726556,0.4191535,0.01683054,0
0.3367431,-5.980198,0.1265062,-1.809509,0.9582666,0.01388988,0
-1.025795,-5.999979,-0.6508847,-1.733358,-0.8845273,-0.007875787,0
0.665382,-6.050605,-0.3385091,-1.74346,-0.2662683,-0.008349339,0
0.08605611,-6.04758,-0.9692954,-1.769753,-0.3221758,0.007445508,0
1.065386,-5.968955,0.04554942,-1.842749,0.6721836,0.001254644,0
0.2767456,-5.979136,-0.265657,-1.816262,1.124975,0.01551991,0
-1.659428,-5.920953,1.165775,-1.630783,-0.8717343,-0.03097853,0
1.940367,-6.037167,-0.3989136,-1.903639,-0.181083,0.007035326,0
0.6475484,-5.98079,-0.4268485,-1.872424,-0.7504358,-0.01521859,0
0.2585147,-5.928016,0.5576862,-1.767731,2.13821,0.01984253,0
-1.18321,-5.992368,-0.4853481,-1.721593,0.2009352,0.02321235,0
0.5235208,-5.984694,0.2368894,-1.76211,0.5157267,-0.01006625,0
0.448842,-6.13354,-1.506512,-1.839311,-0.9614918,-0.005158916,0
-0.8508265,-5.999985,1.005584,-1.820496,-1.01474,-0.02174457,0
1.288743,-6.03189,-0.2540172,-1.815003,1.212645,0.02417504,0
-0.505364,-6.039578,-0.8930604,-1.759855,-0.4054829,-0.007918552,0
0.5640179,-5.907502,0.5956077,-1.720022,0.8808196,0.009006807,0
-0.6727026,-5.988409,-0.4830904,-1.689857,-0.1758301,0.008698548,0
0.4821628,-5.849789,1.871948,-1.788656,-0.1199689,-0.00163262,0
0.1775278,-6.174324,-0.7993421,-1.761546,0.655491,0.01500287,0
-1.015133,-5.935827,0.1158148,-1.686801,-0.7378696,-0.01213198,0
0.8599191,-6.000436,0.5202982,-1.801804,1.305747,0.01881197,0
0.1466237,-6.037324,-1.234367,-1.81049,-0.6714033,-0.00328617,0
-0.3794799,-5.943174,1.499257,-1.759465,-0.6130491,-0.007151505,0
0.4302363,-6.046138,-0.3752626,-1.783136,0.3623649,0.01749649,0
-0.1770423,-6.045935,-0.5163941,-1.744398,0.09041701,0.0005040847,0
0.4787378,-6.024031,0.4603298,-1.796284,0.883877,0.01033182,0
-1.081758,-5.928685,-0.1228231,-1.678867,-0.4314175,-0.00178238,0
0.5761226,-6.027574,0.06386202,-1.793892,-0.8766555,-0.01385298,0
0.9677622,-6.611505,-0.7857329,-1.820124,0.2612371,0.01334591,0
-0.9741264,-5.987852,-0.1133641,-1.697213,-0.2833579,-0.002135972,0
1.051388,-6.535683,0.4148571,-1.806681,0.778629,0.003874012,0
0.3751385,-6.568875,-0.9846476,-1.798883,-0.423824,0.0006645022,0
-0.9620321,-5.885381,1.828272,-1.697022,-0.5995442,-0.01451973,0
-0.5646835,-6.009265,0.4033522,-1.749758,0.3526745,0.00254063,0
0.5487458,-6.060956,-1.078659,-1.871453,-0.5647229,-0.007936938,0
0.5641325,-5.92694,1.305114,-1.762626,0.934102,0.01372935,0
-0.8593234,-6.077764,-1.087816,-1.665127,0.09502343,0.0006518583,0
0.1560623,-5.994707,0.3561433,-1.835315,-0.5841449,-0.009968122,0
0.8824369,-5.946191,1.213248,-1.810986,0.7072799,0.006819335,0
-1.201351,-6.082142,-1.689985,-1.717213,-0.8981207,-0.01007752,0
0.4144111,-5.980018,0.3597645,-1.807687,-0.1834161,-0.01109268,0
0.2715148,-5.981403,0.5279457,-1.766438,0.85519,0.01973298,0
-0.4789817,-6.094543,-1.431097,-1.766811,-0.4119639,-0.007605338,0
0.5890837,-5.923766,1.42442,-1.856414,0.4203787,0.01524617,0
-0.7789031,-6.052396,-0.9129296,-1.713233,-0.3350011,0.003971862,0
-0.2443873,-6.103379,-0.8007634,-1.793643,-0.2439234,-0.009828751,0
0.4096184,-5.906865,1.467005,-1.798518,0.8368891,0.01265895,0
-0.3310339,-6.03278,-0.5542533,-1.790244,-0.5158248,0.006986575,0
0.9654622,-6.064179,-0.7733557,-1.845495,0.2641394,-0.003469266,0
-0.6577876,-5.94229,0.5679122,-1.707085,0.4642829,0.01367906,0
-0.1419142,-6.119572,-1.68048,-1.807814,-0.6609586,-0.007378946,0
0.513436,-5.934522,2.306922,-1.838267,0.3429168,0.008988245,0
-0.8833592,-6.028674,-0.03657257,-1.739534,-0.216396,0.0006806083,0
0.577958,-6.037118,-0.1343266,-1.811187,-0.02045647,-0.0009864466,0
-0.2186236,-5.96367,0.815048,-1.767684,0.3310351,0.00292458,0
0.1308769,-6.130149,-1.961997,-1.819672,-0.5824081,0.0007886164,0
0.4629023,-5.865448,1.727637,-1.77576,0.3181837,-0.01189876,0
-0.567923,-6.080863,-0.1099023,-1.788966,0.3243212,0.01369662,0
0.1071039,-6.021929,-0.4953137,-1.819063,-0.3345734,-0.001944398,0
0.05411763,-6.018219,0.6961856,-1.773605,0.2018582,0.009949045,0
0.2969357,-6.13902,-2.373991,-1.790915,-0.4586923,0.007918005,0
-0.1676266,-5.971356,1.078368,-1.784424,-0.04888258,-0.006160168,0
-0.02643177,-6.064124,-0.2742734,-1.829886,0.2573361,-0.00102846,0
-0.06931223,-6.078633,-0.6433674,-1.814423,-0.4775014,-0.0003542273,0
0.3732275,-5.943127,1.54879,-1.826299,0.515781,0.004169395,0
0.4143723,-6.112058,-1.388762,-1.83196,0.06377504,0.0126581,0
-0.5353167,-5.978752,0.5613165,-1.829229,-0.3744996,-0.0118576,0
-0.07628565,-5.973197,0.1610812,-1.739103,0.3151605,0.01323948,0
0.05428934,-6.543695,-0.1539021,-1.786629,-0.05179346,0.007784654,0
-0.5912493,-6.518682,0.8229983,-1.76321,-0.332262,-0.01604133,0
-0.3275946,-6.115082,-0.3083141,-1.771795,0.2774138,0.003360039,0
-0.1913722,-6.525105,-0.4385533,-1.78651,-0.5885603,-0.006758196,0
1.138539,-5.988209,-0.08168833,-1.839815,0.4561124,0.001561642,0
-0.5922144,-6.027215,-0.2611758,-1.792753,-0.3736076,0.005005054,0
-0.4655974,-5.968735,0.2246781,-1.779522,-0.3141899,-0.01510569,0
0.3881648,-5.950047,2.066805,-1.858427,0.8353625,0.008802029,0
0.3285629,-6.109498,-1.468584,-1.793464,-0.6033676,0.002388324,0
0.226977,-6.089541,0.2921674,-1.834926,0.421921,0.01227598,0
-0.1715223,-6.02063,-0.5955311,-1.743741,0.03386096,0.004927291,0
0.0841026,-6.054479,-0.9822707,-1.803526,-0.6119307,-0.008346068,0
0.2876572,-5.956423,1.550556,-1.817658,0.5148448,-0.0007791552,0
-0.1337991,-6.12126,-1.447711,-1.832087,-0.3864145,-0.003359721,0
-0.5898188,-5.9087,2.331696,-1.767107,-0.09205664,-0.008444952,0
0.9225877,-6.072399,-0.2259735,-1.845475,0.4648704,-0.0002773125,0
-0.04308773,-6.138044,-1.698234,-1.828165,-0.5134805,-0.0005976749,0
0.4220782,-6.024817,0.8099853,-1.816428,0.2462472,0.005226325,0
-0.4141484,-6.153261,-0.461576,-1.806644,0.238238,0.01251336,0
-1.011736,-5.923711,1.953963,-1.738813,-0.05998137,-0.01298432,0
0.9813695,-6.152486,-0.4946279,-1.868042,0.4468375,0.004658406,0
-0.8210427,-5.97203,1.113507,-1.739313,-0.1743366,0.007855072,0
0.2881442,-6.028983,0.6624479,-1.860562,-0.01238744,0.005079148,0
-0.520451,-6.057693,-0.3877491,-1.762826,-0.03416386,0.01039749,0
0.3039807,-6.128189,-1.625132,-1.829949,-0.6200808,-0.007471527,0
0.3496788,-6.103522,0.2916237,-1.806896,0.3928964,0.00606124,0
-0.1957988,-6.04659,0.1351352,-1.791306,-0.08442537,0.007304817,0
-0.4083314,-5.970221,1.026157,-1.767952,-0.2863643,-0.01176245,0
0.04717108,-6.069968,0.4603281,-1.748736,0.534448,0.01221997,0
-0.3394461,-6.068857,0.09818664,-1.821896,0.04170258,0.005855356,0
0.06066145,-5.965568,1.002165,-1.780511,0.1184339,-0.004488921,0
0.01958342,-6.132174,-0.6234466,-1.784665,0.3572826,0.01575624,0
-0.3636558,-6.067694,-1.077598,-1.751889,-0.4694815,0.0003244041,0
0.8870399,-6.086462,0.2519237,-1.869308,0.4186676,-0.0004402951,0
-1.12802,-6.00556,0.2609831,-1.677475,-0.2618535,0.001256378,0
0.5210363,-5.997722,0.6607322,-1.821631,-0.1360543,-0.01027972,0
0.7893289,-6.049556,-1.121126,-1.784819,0.3411699,0.01572144,0
-0.7550119,-6.074249,-0.7196781,-1.77787,-0.7660393,-0.009944821,0
0.5694445,-6.027805,0.3417579,-1.795164,0.3224739,0.00271466,0
0.0197746,-6.145132,-1.192103,-1.754003,0.1761181,0.008485216,0
0.5206312,-6.573178,0.6951246,-1.815554,-0.1395846,-0.005354942,0
-0.3756359,-6.016451,0.9319492,-1.755896,0.2975489,-0.01243951,0
-0.2131439,-6.108414,-0.8216037,-1.770071,-0.2372854,0.007733241,0
-0.1238014,-6.426976,1.879807,-1.769733,0.2874365,-0.0002465855,0
-0.1083043,-6.096034,-0.9200474,-1.77392,0.112156,0.00417945,0
-0.1261639,-6.071219,-0.854623,-1.781595,-0.449852,-0.006620171,0
0.8173458,-6.053369,-0.3298719,-1.805957,0.09848217,0.003595064,0
-0.6213585,-6.032865,0.495757,-1.759032,0.1010195,0.0002241133,0
0.3742557,-6.102146,0.07018793,-1.809289,-0.0965571,0.0008373603,0
-0.5696454,-6.454514,1.148798,-1.728548,0.05931683,0.0001291047,0
0.5538146,-6.04015,0.4618866,-1.851436,0.2253468,0.00509244,0
1.019902,-6.091177,-0.4182954,-1.913664,0.1484097,0.00451731,0
-0.9499441,-5.952298,0.8241113,-1.849491,0.0274249,0.0222936,0
-0.1034984,-6.039423,-0.1932713,-1.740819,0.188876,-0.009525008,0
-1.218739,-6.080798,-0.2034206,-1.702845,-0.1894904,-0.001355234,0
1.039528,-6.055309,-1.031122,-1.746058,-0.4584784,-0.00469445,0
-1.848715,-6.06113,1.257553,-1.776327,0.2373773,0.00198789,0
2.231778,-6.076492,-0.4077066,-1.988561,0.07935664,0.02023369,0
0.8952091,-6.132315,-0.5234854,-1.91137,0.6229414,0.01697487,0
0.2056501,-6.149065,-1.752466,-1.740218,-0.4896043,0.02611421,0
-1.026668,-5.992757,2.710756,-1.902003,0.07540587,-0.03562199,0
2.625912,-6.18681,-1.415279,-2.005602,0.8262691,0.02845327,0
-1.92761,-5.869182,3.413956,-1.752998,-0.6376624,-0.007573019,0
1.700071,-6.170509,0.1230307,-2.000908,-0.1647035,-0.03867571,0
-0.944952,-6.073992,0.8267103,-1.717933,-0.1505712,-0.006466684,0
-1.394051,-6.264722,-1.952887,-1.802641,-0.718223,-0.03276305,0
-0.1044798,-5.889296,1.815333,-1.790614,0.5563344,0.04621026,0
3.72634,-5.865487,1.406514,-1.890514,1.668998,0.0796318,0
-2.566949,-6.328103,-3.784738,-1.597246,-2.222663,0.008846872,0
-3.706902,-6.35969,-1.701471,-2.17597,-0.7509708,0.04415727,0
5.264618,-5.64999,3.931959,-2.1589,-0.1553791,0.02242484,0
-5.347077,-5.021581,9.205784,-2.267833,0.003785059,0.08503379,0
1.477883,-5.984882,-2.06127,-2.239578,-0.004126459,0.06638213,0
6.072008,-6.246154,2.083369,-2.484519,-0.06040878,0.03881445,0
-0.6978697,-6.400077,1.906124,-2.31784,-1.030835,0.0003958021,0
-1.55323,-7.009933,-6.586405,-2.325426,0.8255789,0.05505225,0
5.80205,-6.053444,1.130079,-2.446182,0.2485703,0.04013261,0
-1.037574,-7.146573,-4.687078,-2.078097,0.8812791,0.100966,0
1.294751,-6.204633,4.230012,-2.676605,-0.1678427,0.1562371,0
4.958259,-6.691169,-0.6539759,-2.766665,0.3240846,0.1672142,0
4.266296,-7.43243,-3.808971,-2.41661,-1.714502,0.10768,0
-5.447327,-6.506958,1.337628,-2.373154,-0.5456259,0.1182799,0
-3.550985,-5.746785,5.035412,-2.010907,0.1874056,0.1297662,0
1.830911,-7.114983,1.601164,-2.378898,-0.5140786,0.1047887,0
9.493252,-6.908283,-1.131593,-2.977875,-0.3862158,0.1042629,0
-4.169239,-6.784503,2.893529,-2.068866,1.701236,0.1825251,0
-0.3424799,-6.677187,1.588734,-1.999162,0.4290822,0.213227,0
6.243282,-6.313029,5.694652,-2.833071,0.8604148,0.2031387,0
-0.1396155,-6.672372,-3.103804,-2.220421,0.3241739,0.1552064,0
-6.352716,-6.611886,4.135057,-1.702217,0.716405,0.1336642,0
