	R	RDes	P	PDes	Y	YDes	FaultIn	RRPrediction
19	0.0196322458728008	-0.3763785984649221	0.0154881312595586	-0.308441802857407	0.0944408697931608	0.00020688136497224499	0	0
20	0.0210527494990277	-0.382459537365763	0.0189975249796414	-0.31400709649018893	0.0874413786414043	0.000226209166041234	0	0
21	0.0214724098520002	-0.38805910198159704	0.014938637813997	-0.319571291977362	0.0898380853800748	0.000200259824692369	0	0
22	0.0173980842660897	-0.39319260524478006	0.0191081700534598	-0.325478085109938	0.0892834667782015	0.000245891573619995	0	0
23	0.021021046225383	-0.405095414527792	0.017356663644580002	-0.334921957241974	0.0899796643931675	0.00038715140257603904	0	0
24	0.0199032463856537	-0.41034632399044	0.0188860811155006	-0.340609394220308	0.0914546827571677	0.000347267306952296	0	0
25	0.0248469828838263	-0.292565309902661	0.0201647101397969	-0.266660107642562	0.0889787801192616	0.0038524178448845104	0	0
26	0.0182886785051814	-0.248100908637149	0.018408210212305	-0.218636120412432	0.0898637449319957	0.0124566854727138	0	0
27	0.0234295671371121	-0.32890879636068	0.016045077799217	-0.28663436563574396	0.0919216915123608	0.0206891901765609	0	0
28	0.0173453825001227	-0.34136553019952903	0.0161337086225274	-0.29901693329379303	0.0893384776591556	0.0293962665390652	0	0
29	0.0183940856875414	-0.348008655530957	0.017871964655330003	-0.30503277261049	0.0888964026919581	0.0386372946441694	0	0
30	0.0177059475425045	-0.360011064884953	0.0163253625824023	-0.31651891898317797	0.0898782599867495	0.0478581892976928	0	0
31	0.0218164190681509	-0.35954574447141296	0.021690293206346002	-0.31707705058719	0.08802259371087401	0.0572209375392289	0	0
32	0.0178374958543322	-0.371502623523553	0.0163998686221911	-0.32818965953008195	0.0884304356266812	0.0665187747071267	0	0
33	0.0168625481000437	-0.525567644259088	0.0220425109434663	-0.443044319183234	0.0889560130298915	0.0755219865672609	0	0
34	0.018603213533541	-0.425039762968614	0.0202124767315366	-0.37970601425507106	0.08692210643505599	0.0858048437947977	0	0
35	0.0167695227840531	-0.434856063646126	0.017485797313891	-0.389541796612875	0.0852390048606187	0.0962919098666847	0	0
36	0.0210093464851662	-0.439650939556991	0.0153922252709404	-0.394070864929625	0.088442322848978	0.10599554004265599	0	0
37	0.0195881618701858	-0.835186172555989	0.0183049546515727	-0.46058062375545894	0.0866776636069425	0.11543126850863099	0	0
38	0.021631212690540004	-0.9132506669079029	0.019228389397483003	-0.861303674332724	0.0822172561723686	0.12700591779622	0	0
39	0.019521094001268998	-0.6345335653403741	0.0183895448473722	-0.6781250529873499	0.08759266877170499	0.136885121355385	0	0
40	0.0234255412339353	-0.531100698112198	0.0185030687627431	-0.48425572348848	0.0849025087114367	0.147280503740863	0	0
41	0.0219297491204654	-0.459037830877921	0.0183362471331997	-0.60461497220041	0.0849245140835896	0.15891378718965196	0	0
42	0.0215074145241931	-0.8347034233864251	0.0215194574399689	-0.573771935810087	0.0857204496729772	0.16899772869992302	0	0
43	0.0202546065764742	-0.93663255723013	0.0164476302827051	-0.452799831937925	0.0835512043719383	0.18021313963088	0	0
44	0.0192294194042482	-1.17459799154149	0.0179373497744895	-0.7091934925103409	0.08865401691917	0.19135090931144502	0	0
45	-0.0871495820128199	-1.08211010062445	-0.0689280921998677	-0.790409925091979	0.0859314864433109	0.20224664062614	0	0
46	-1.36531167359068	-0.336707051563016	-1.46531644707443	-0.547762325912306	0.130227786307718	0.201976158779463	0	0
47	-0.8486772681203041	0.5736194376288579	-0.762034892857578	0.441749533845498	0.176973950511088	0.17983264088532397	0	0
48	-0.000237622674771817	1.15937878648082	0.107794860434127	1.18911854204246	0.18026803570067398	0.15056900876951598	0	0
49	0.21632296660850198	0.993740344356183	0.436395710852497	1.1626697361849099	0.17580129628563199	0.12119987697726199	0	0
50	0.46542564192649893	1.19437314672345	0.5908438619658231	1.1123513552899098	0.153292660320964	0.0963175331370005	0	0
51	0.533732646008104	1.06925711743377	0.391368604248363	0.83212956506135	0.142688207928569	0.0802400481407457	0	0
52	0.36071271427409607	0.9810771044244351	0.233607418981085	0.931340958564726	0.128089381963649	0.069760510249399	0	0
53	0.44569861275749795	1.23845928725104	-0.0496397496832956	0.48152555146058595	0.123295894817107	0.0592451672571625	0	0
54	0.519633041069448	0.995115236849097	0.09357538055697599	0.6899635962923389	0.114336468598091	0.058042180871976	0	0
55	0.20597996165946	0.18673157950299804	0.383999791754312	0.606097713421985	0.0965128275316113	0.0662685804055425	0	0
56	0.190247560145657	0.6321769880983461	-0.0915353496115783	0.24530872217591698	0.0790867754675915	0.0761156253924696	0	0
57	-0.0495036217854206	0.442737884177939	0.16661315773551702	0.34791190644487896	0.0776489093822793	0.0881936948032651	0	0
58	-0.00856388962947069	0.129184331647049	-0.0874289222518874	0.3938675985603	0.0892099840443993	0.0990818057382384	0	0
59	-0.0276007123680667	0.300480475756717	0.072156351920401	0.0739803975099131	0.09200324525855198	0.10915699124201199	0	0
60	-0.0445347716702841	0.0218525718995833	0.25917155171769296	0.583018259983523	0.08921362102796601	0.118703326549699	0	0
61	-0.0295346433927584	0.0127554514240823	0.19234828638026896	0.12999898089003098	0.11034718723500998	0.122720577312645	0	0
62	-0.0426228421546994	0.10883811377025601	0.0178266133749488	0.209022961477178	0.10433894419806698	0.123873185489777	0	0
63	0.43119881182528397	0.36108583377064707	-0.362206252373409	-0.20953150479875304	0.11457552372189199	0.124416357223717	0	0
64	-0.0176391699839514	0.0548681842419943	0.0569169314429837	0.0642159809364147	0.129056535619777	0.116406467066999	0	0
65	-0.12274330423241	-0.271742966868767	0.10261641808497	0.43540894524090296	0.144487732805843	0.102585616987646	0	0
66	0.194662818089182	0.0796816030730309	0.0821936799018134	0.00422743733246251	0.143077329507927	0.0874964117072247	0	0
67	-0.146152501610703	-0.0848884228768524	-0.34380869288474103	-0.15170561621290599	0.162616689289483	0.0595950647688283	0	0
68	-0.17928923039115	-0.036942373452004997	0.43826360415964594	0.35407387830913106	0.114196847654999	0.0406452317736459	0	0
69	-0.5360682747537729	-0.160736446793734	0.17643170950327802	0.0274162037946357	0.107460333691711	0.0299269479803305	0	0
70	0.40808121053846	0.39089433784834793	0.005843728531779921	0.0361275237657086	0.0960587490651734	0.0166085643759834	0	0
71	0.0254147817687964	-0.0555972693585467	0.229227959056108	0.339409026949339	0.0859014878756786	0.00221401989222485	0	0
