R,RDes,P,PDes,Y,YDes,FaultIn
-0.020878,7.901352,0.02567843,6.435934,0.01205963,0.02877583,0
-0.02824425,7.902964,0.02532794,6.433045,0.02208702,0.02874976,0
-0.003697395,7.903917,-0.01371522,6.435764,-0.03626221,0.02945488,0
0.05228882,7.901628,0.03158434,6.43609,0.01842303,0.02899558,0
-0.004561401,7.902591,0.009880974,6.434896,-0.01576912,0.03022268,0
0.04581878,7.897936,0.02631854,6.434913,-0.04026562,0.02980994,0
-0.02920619,7.900681,0.01799533,6.433506,-0.005931505,0.03029181,0
0.05576596,7.89621,0.005824338,6.435867,0.007174108,0.02936165,0
-0.01865474,7.894508,0.04187362,6.434823,0.01795121,0.0290363,0
-0.02180308,7.898335,0.004627822,6.438288,0.02570115,0.02856692,0
0.1020465,7.892526,0.04013406,6.437438,0.121593,0.02731592,0
0.1100925,7.889879,0.05847222,6.442183,0.08954639,0.02864305,0
0.05467786,7.890838,-0.006359547,6.442495,0.05783173,0.02868729,0
0.04141715,7.890299,-0.1523897,6.460295,-0.01076495,0.02791256,0
-0.05089702,7.894236,0.1020098,6.447335,0.04342121,0.02762957,0
0.006432481,7.886548,0.1811628,6.442357,0.09649431,0.02849188,0
0.01514965,7.884687,-0.2235048,6.478496,0.0747015,0.02955593,0
-0.1599512,7.892457,0.1329867,6.44418,-0.02429098,0.03026195,0
-0.07167925,7.887748,-0.04505933,6.456993,-0.03213936,0.02706456,0
-0.07755965,7.885685,0.09663077,6.458881,-0.09925915,0.03110032,0
0.07065135,7.885476,-0.1340907,6.480249,0.07428139,0.02783692,0
0.001148599,7.892737,0.02567034,6.467779,0.2040503,0.02585051,0
0.07537678,7.873033,-0.0003601564,6.458878,0.08002316,0.0283312,0
-0.05766289,7.877638,0.2063109,6.445945,-0.2564927,0.03333394,0
0.02607716,7.882468,-0.2287778,6.475356,-0.01786998,0.02861923,0
-0.01621249,7.88374,0.01881298,6.481185,-0.2327547,0.03200182,0
-0.09168765,7.900279,-0.02001273,6.470128,0.05071468,0.02611741,0
0.1933341,7.882459,-0.1877957,6.504752,0.07367356,0.02879526,0
-0.2904972,7.897159,0.134335,6.47411,-0.4365783,0.04301089,0
-0.5352768,7.949491,-0.2234965,6.513925,-0.09886595,0.03089039,0
0.05131873,7.911957,0.2039634,6.491093,-0.2196019,0.02579892,0
-0.7707177,7.965638,-0.6004719,6.537127,0.3465205,0.02981022,0
0.04053368,7.907636,-0.1344591,6.516717,-0.1917066,0.03396958,0
-0.5273057,7.909053,-0.3669117,6.560829,0.08704968,0.0268173,0
-0.350352,7.916096,-0.1663472,6.520144,-0.3257673,0.02344074,0
-0.1872577,7.919547,0.1846691,6.50273,-0.3731118,0.03604155,0
0.09536564,7.943851,-0.4668932,6.560712,0.140805,0.01741615,0
0.5304161,7.870386,0.2611704,6.482054,-0.1876736,0.03323665,0
-0.8438917,7.938422,0.01840219,6.537902,0.5505016,0.02491939,0
0.4055927,7.856308,-0.1422122,6.505612,0.2846541,0.02484013,0
0.847553,7.851302,-0.243732,6.5361,-0.3264928,0.03490863,0
-0.4282849,7.966997,-0.1487222,6.554707,0.005817942,0.01662189,0
-0.1393275,7.869875,0.3241569,6.511497,0.01156633,0.02128328,0
0.1076103,7.858015,0.9798473,6.407562,0.09101477,0.03859752,0
-0.11288,7.8275,-0.5099762,6.454985,0.3612116,0.018168,0
-0.5557215,7.824508,-0.3056898,6.481903,0.05920386,0.02773317,0
0.5188041,7.751384,0.2001073,6.46194,-0.2278199,0.01057617,0
0.4335982,7.821074,-0.08003409,6.470405,0.2470814,0.0179826,0
0.3620736,7.772036,-0.07767665,6.524647,0.3606335,0.008230705,0
