R,RDes,P,PDes,Y,YDes,FaultIn
0.02763164,-8.64997,0.009498969,-13.25832,0.01701211,0.04993329,0
0.02659178,-8.650939,0.0002130399,-13.25855,0.01141797,0.05113425,0
0.01027065,-9.169932,0.01431552,-13.26015,-0.02710881,0.04596785,0
0.02471303,-8.654019,-0.01898311,-13.25598,-0.01885755,0.05128759,0
-0.004687846,-9.168413,0.003046365,-13.25313,-0.008576454,0.04645908,0
-0.01409043,-8.647234,0.003073042,-13.25288,-0.03573854,0.05096447,0
0.02861051,-9.684381,-0.01769509,-13.24878,0.004160877,0.04257007,0
-0.07431059,-8.641847,0.01191098,-13.24972,0.005543781,0.05024665,0
0.008210133,-9.159021,0.022379,-13.25019,0.01088821,0.04664605,0
0.04390118,-9.677575,0.005956021,-13.25243,-0.006421235,0.04231675,0
0.02914375,-8.647792,0.002152908,-13.25235,0.02763662,0.04963008,0
0.04883176,-9.167365,-0.006353953,-13.25055,0.05548706,0.04594634,0
0.04925558,-9.170095,0.05986391,-13.25124,0.08771889,0.04473991,0
-0.02075222,-8.647256,0.02353112,-13.25178,-0.09907719,0.05185401,0
-0.1112543,-8.639127,-0.1577235,-13.24059,-0.1245526,0.05289306,0
-0.03338374,-8.64323,-0.158676,-13.23815,0.08935078,0.04858598,0
-0.2091901,-9.147694,0.04352946,-13.25649,0.08240899,0.04336759,0
-0.1853565,-9.14328,0.06145535,-13.26356,-0.04390267,0.04559884,0
-0.08159109,-8.631418,0.02061504,-13.25921,-0.0625339,0.04942185,0
-0.1353115,-8.628243,0.07637174,-13.26475,-0.07382212,0.0483729,0
-0.04898055,-9.147912,-0.2005107,-13.23667,0.1812743,0.04355008,0
-0.06229305,-8.632128,-0.1391614,-13.23887,0.1373247,0.0475525,0
-0.05104128,-9.143324,0.03447716,-13.24599,-0.07635998,0.04465999,0
0.07435051,-9.167683,0.1024597,-13.26298,-0.2813475,0.04657483,0
0.02140145,-9.166041,-0.1087538,-13.24667,0.157821,0.03873277,0
-0.06611545,-8.642409,0.08479526,-13.24194,0.2295135,0.04846171,0
-0.07019977,-9.17163,0.1601193,-13.26281,-0.5480406,0.05395648,0
-0.2434466,-8.625233,-0.4092137,-13.21803,0.5007969,0.04756271,0
0.6000871,-9.19839,0.2608133,-13.23649,-0.008308001,0.04645916,0
-0.1418857,-8.659653,0.4532113,-13.28297,-0.4801903,0.05130259,0
0.4856365,-9.205256,-0.6775778,-13.19969,0.7275295,0.03501968,0
-0.7609491,-9.171116,0.2931591,-13.23314,-0.5687104,0.04214318,0
-0.09070464,-8.608818,0.4069431,-13.26536,-0.1520603,0.05702187,0
0.5612879,-9.206326,0.1278502,-13.26604,-0.3822897,0.04463118,0
0.7037841,-9.219653,0.0487289,-13.21858,0.3416453,0.04882182,0
-1.140172,-9.074717,-1.143895,-13.14411,-0.3626813,0.04055262,0
-0.92927,-9.076036,-0.1967449,-13.20234,-0.02172048,0.04661826,0
-1.705125,-9.04475,-0.5008267,-13.17903,0.3429233,0.03464443,0
0.6513122,-9.191982,0.7320987,-13.23188,-0.3877581,0.04799926,0
0.1527096,-9.167271,-0.1804022,-13.18446,0.6267931,0.02816797,0
0.4139802,-9.181221,0.2416764,-13.23817,-0.4718993,0.059234,0
-0.2381025,-9.11464,-0.419663,-13.18338,1.029014,0.02271612,0
0.9987352,-9.180568,0.6393934,-13.27595,-1.015189,0.05706493,0
0.538714,-9.164529,-0.04497885,-13.19841,0.5116944,0.03674592,0
-0.2435378,-8.694676,-0.5944385,-13.20527,-0.4023486,0.04185829,0
1.177297,-9.137363,0.380468,-13.27156,0.4772534,0.03966266,0
-1.490358,-9.088984,-0.246296,-13.2248,0.7240585,0.01535441,0
1.530656,-9.256434,-0.1871953,-13.18365,-0.4766411,0.05285433,0
-1.311117,-8.558617,0.05767003,-13.25807,0.2179483,0.03072304,0
0.4752963,-9.169118,0.272348,-13.21898,-1.090441,0.06123498,0
-0.2745369,-9.145204,-0.08347239,-13.18972,1.246639,0.0170922,0
0.4308379,-8.747132,-0.5911381,-13.20793,-0.205858,0.04217117,0
0.5471547,-8.626814,0.4052857,-13.25009,0.4687658,0.04027373,0
-1.320072,-8.555737,-0.1205359,-13.21168,0.1538579,0.04265702,0
1.133093,-9.218113,-0.9935645,-13.11824,-0.493394,0.06504098,0
-0.370286,-9.159093,0.3546327,-13.25652,0.6404123,0.01869852,0
0.3242633,-9.189811,0.5488712,-13.26713,-0.8375993,0.0477216,0
0.03118936,-9.06558,-0.2246919,-13.21928,1.076745,0.03527155,0
-0.4156607,-9.133156,-0.949595,-13.11768,-0.3464655,0.04364589,0
1.465688,-9.220684,0.3232445,-13.23095,-0.04050398,0.03862764,0
-1.62434,-9.061357,-0.2573089,-13.2174,0.1843631,0.02403664,0
0.2734836,-8.632785,0.04527323,-13.2198,-0.9446648,0.06275873,0
-0.1586107,-8.621133,-0.2101953,-13.17531,0.8668807,0.03081828,0
-0.2013919,-9.200414,-0.5419024,-13.18816,-0.4569123,0.04572082,0
0.1133437,-9.202429,1.024465,-13.26469,0.6160996,0.02610784,0
-1.317115,-9.071474,-0.8784194,-13.15879,0.247704,0.02406057,0
-0.1802732,-9.11551,-0.3090917,-13.19281,-0.9349295,0.07208829,0
0.904644,-9.239451,-0.09687953,-13.19172,0.568038,0.02950534,0
1.117903,-9.25627,0.5647751,-13.20307,-0.1316375,0.03687344,0
-0.6748111,-9.112563,0.4674856,-13.23558,0.5727296,0.0316034,0
-0.4901322,-8.622839,0.06185381,-13.22084,0.09363107,0.04288863,0
0.8489602,-8.640964,-1.089389,-13.14402,-0.337753,0.06991732,0
-0.4566082,-8.670357,0.2995392,-13.19477,0.664363,0.03179221,0
1.373454,-9.282945,1.390336,-13.3043,-0.3157834,0.04017115,0
0.2294104,-9.631063,0.09026814,-13.21804,0.1795683,0.02683584,0
-0.5638227,-9.148836,-0.9880232,-13.17778,-0.03803029,0.0422571,0
