R,RDes,P,PDes,Y,YDes,FaultIn
-0.02733471,4.61082,0.01365153,-6.249845,-0.01045638,-0.02475746,0
-0.01399357,4.611555,0.01217763,-6.250002,0.003060561,-0.02419992,0
0.04134179,5.130914,0.05505344,-6.254738,-0.001187476,-0.02242206,0
-0.03661519,5.132531,0.01073019,-6.250197,0.006320314,-0.02249411,0
-0.03471161,5.13615,0.03373864,-6.247465,0.03300682,-0.02278913,0
-0.02220389,5.136072,0.004597867,-6.246494,0.003701488,-0.02313435,0
0.009569249,5.142374,0.03658888,-6.242207,0.03738592,-0.02248709,0
-0.003408583,5.139143,-0.02620385,-6.248249,0.005897411,-0.02234236,0
0.005321394,5.144485,0.04307262,-6.248837,-0.009906743,-0.02284906,0
0.00499965,5.143418,-5.363081e-05,-6.253704,0.02186144,-0.02222856,0
0.01090913,5.139626,0.009337281,-6.258512,-0.03637727,-0.02300484,0
0.01064007,4.629627,0.04645056,-6.259306,-0.07856853,-0.02554517,0
0.01383337,5.144349,-0.0134332,-6.260419,0.03232642,-0.02208601,0
-0.03932366,5.151406,0.07205424,-6.260295,-0.04974905,-0.02306833,0
0.003602852,5.151094,-0.01047553,-6.253574,-0.02602247,-0.02194953,0
-0.07158367,5.15078,0.02711888,-6.25601,0.05940018,-0.01985061,0
-0.004571484,5.154498,0.110456,-6.257459,-0.03937791,-0.0246039,0
-0.04642077,5.152409,0.07316812,-6.257889,-0.2677552,-0.02388801,0
-0.0602982,5.147798,0.03938708,-6.263454,-0.1535548,-0.0235824,0
-0.03812778,5.144855,-0.005587307,-6.261171,0.08873452,-0.0201882,0
-0.02747917,5.146855,0.0263915,-6.261699,0.2892443,-0.01767223,0
-0.02288624,4.63202,0.03428082,-6.268457,-0.03039575,-0.02443884,0
-0.07175806,5.14793,-0.01753926,-6.259087,-0.3764089,-0.02679564,0
-0.156749,5.137501,-0.09994172,-6.241971,-0.3879398,-0.02555577,0
0.1209554,5.140893,0.02496218,-6.253035,0.357491,-0.01567179,0
0.2277056,5.144276,0.06994511,-6.293717,0.3134913,-0.0179949,0
-0.3002015,5.152685,0.1523849,-6.26705,-0.3900748,-0.0258403,0
-0.3074038,5.153796,0.0965101,-6.24007,-0.1823721,-0.02284022,0
0.641644,5.159277,0.1772232,-6.32601,-0.08345001,-0.01853484,0
0.08470742,5.133751,0.1429355,-6.289167,-0.06846744,-0.01405076,0
-0.2267668,5.107234,-0.2421174,-6.226799,0.1646934,-0.02642553,0
-0.6897882,5.101044,-0.5845675,-6.231954,-0.2267886,-0.02076814,0
0.8404135,5.186246,0.8018085,-6.339868,0.04144132,-0.0231522,0
-0.01991343,5.138511,0.1111151,-6.310013,-0.4243403,-0.02554168,0
0.2591633,5.128662,0.3554599,-6.286022,0.1914683,-0.02020445,0
-0.04866042,5.087965,-0.6377098,-6.282942,0.4445712,-0.01443185,0
0.05226965,5.108274,0.002052055,-6.304977,0.1434293,-0.02190765,0
-0.1337315,5.116898,-0.1137898,-6.3025,-0.6299323,-0.02335104,0
0.234051,5.098998,0.4347725,-6.356404,-0.8790573,-0.03500196,0
0.03835284,5.028911,-0.7173585,-6.300293,0.1365188,-0.01502694,0
0.08013416,5.051103,-0.1174795,-6.299138,0.364374,-0.01787918,0
0.5255729,5.055532,-0.587266,-6.37111,0.7848805,-0.009183189,0
-0.07829358,5.099138,0.2211372,-6.348656,-0.2477872,-0.02341308,0
-0.140792,5.058906,-0.1353535,-6.327585,-0.08854444,-0.02640055,0
-0.2003468,5.059673,0.2728883,-6.324319,-0.5560123,-0.02519698,0
-0.4220577,5.039343,-0.3071876,-6.31369,-0.05092767,-0.02166321,0
0.4484632,5.04755,0.1017295,-6.384868,0.1200417,-0.02122115,0
0.3180214,5.040817,0.07433361,-6.363701,0.105935,-0.02410713,0
-0.2130551,5.054096,0.2414296,-6.381775,0.4795622,-0.01045778,0
-0.2001148,4.995293,-0.5534721,-6.330774,-0.3320457,-0.02797035,0
-0.14654,5.033801,0.04271143,-6.379059,-0.2389091,-0.03470945,0
-0.2091875,5.024228,0.3177504,-6.364477,-0.06957324,-0.02681791,0
0.1965587,5.005481,-0.1847182,-6.360409,-0.13557,-0.02715561,0
0.1341605,4.998613,-0.08526539,-6.382305,0.2397357,-0.02364318,0
-0.7091736,4.476591,-0.4422396,-6.34146,0.04304814,-0.02616565,0
-0.0647952,5.02896,0.2073705,-6.344222,0.09099793,-0.02530535,0
-0.1426457,4.994707,-0.2369833,-6.355968,-0.3550445,-0.02723429,0
-0.04744212,5.031019,0.5133529,-6.381753,0.02675068,-0.02417761,0
-0.2694874,5.003047,-0.1882889,-6.372496,0.06777532,-0.02069338,0
-0.3840912,4.973984,-0.1308558,-6.357301,-0.2387627,-0.02522822,0
0.1556635,5.00946,0.3871278,-6.379626,0.1603691,-0.02593821,0
0.2123086,4.9677,-0.5293058,-6.406672,-0.3611773,-0.01912414,0
-0.3729261,5.033792,0.5251336,-6.407165,0.1770173,-0.01840721,0
0.3823281,5.048119,0.60802,-6.43368,0.1089895,-0.01619739,0
-0.5443425,4.432523,-0.4579678,-6.344297,-0.255685,-0.02840181,0
0.1071262,4.993732,0.2508592,-6.409472,0.4940368,-0.009647933,0
0.03355325,4.980493,-0.4312376,-6.360151,-0.01604949,-0.02031198,0
0.3312916,5.028089,0.7129297,-6.433148,-0.0528823,-0.02014962,0
0.7086389,5.010739,0.1162855,-6.452472,-0.2919544,-0.02875661,0
-0.5360762,4.929285,-0.6846448,-6.362702,0.06917749,-0.02070018,0
0.3235593,4.983143,0.1951839,-6.414426,0.4095032,-0.01783893,0
0.3842185,4.933016,-0.4214447,-6.411162,-0.5041614,-0.02739311,0
-0.6031728,4.903824,-0.9652055,-6.374619,0.1810516,-0.02384301,0
0.3112174,4.982919,-0.09143944,-6.441794,-0.06502223,-0.02502039,0
0.2191806,4.485502,-0.2093405,-6.481502,0.02995385,-0.02758356,0
-0.8158066,4.889173,-0.7781402,-6.333336,-0.1960125,-0.014638,0
-0.008794944,4.973365,0.07766917,-6.407766,-0.6535346,-0.0398896,0
0.6778526,4.963301,0.4561159,-6.502625,0.4886998,-0.01780941,0
-0.177989,4.888421,-0.3413199,-6.359716,-0.04707221,-0.01705341,0
0.1562476,4.983422,0.4761502,-6.454732,0.009801789,-0.02703395,0
-0.2746215,4.946608,0.03376876,-6.415254,0.2802979,-0.01008087,0
-0.07632112,4.916246,-0.1314724,-6.389918,-0.2900629,-0.03045795,0
0.6476936,4.941076,0.2473611,-6.525655,-0.03049546,-0.02103483,0
-0.02833292,4.889887,-0.3232992,-6.429714,-0.2421347,-0.02033653,0
0.2893704,4.957146,0.6265693,-6.458191,0.5391405,-0.00703801,0
-0.3585339,4.924801,-0.4015782,-6.462201,-0.02223263,-0.02210015,0
-0.5795472,4.889034,-0.4970073,-6.375428,-0.1487861,-0.02971205,0
0.6479664,4.973981,0.4847639,-6.504399,0.3111083,-0.0131352,0
-0.7603317,4.892273,-0.6069362,-6.367968,-0.2527378,-0.03054827,0
-0.6180236,4.94342,-0.08674277,-6.415284,0.1013353,-0.02161379,0
0.607329,4.963707,0.8010104,-6.479305,-0.1661638,-0.02526487,0
-0.132506,4.911034,-0.1696656,-6.433176,0.266292,-0.02259074,0
0.2475221,4.899076,-0.04403804,-6.442025,-0.003170624,-0.01833417,0
0.8739852,4.954025,1.014123,-6.481087,-0.2184328,-0.03254087,0
-0.6663277,4.845074,-0.4699459,-6.364655,0.2320321,-0.01888968,0
0.263775,4.910702,0.2637881,-6.46146,-0.1992451,-0.02326036,0
0.4202255,4.921576,1.215089,-6.440337,0.1474277,-0.03465592,0
-0.8686386,4.830674,-0.5764089,-6.40471,-0.06570935,-0.01333961,0
0.3829294,4.889704,-0.03724002,-6.483017,-0.1998029,-0.01823093,0
0.1545531,4.893799,0.2708381,-6.482454,0.1688654,-0.01949747,0
-0.4843124,4.867219,-0.5745354,-6.448893,-0.1034469,-0.02868049,0
-0.031759,4.932028,1.101656,-6.463803,0.1720208,-0.0287042,0
-0.972261,4.827654,-0.6085101,-6.389185,0.17831,-0.02049277,0
0.3901753,4.895854,0.6040381,-6.444242,-0.1870669,-0.02565507,0
0.2422875,4.817203,-0.3543415,-6.412478,-0.1044287,-0.02058841,0
-0.2570917,4.887548,-0.04805757,-6.474556,-0.1626017,-0.0256431,0
0.5696322,4.865917,0.4676,-6.488123,0.107224,-0.02889878,0
-0.08841732,4.83545,-0.4154731,-6.48442,0.07483058,-0.02194992,0
-0.9046715,4.886405,0.4781168,-6.446162,0.01557839,-0.02856378,0
0.06317601,4.832618,0.09477751,-6.481829,0.09139214,-0.01992432,0
-0.1626025,4.817315,-0.2561452,-6.44246,-0.5121139,-0.02843458,0
0.1597197,4.899377,0.6412643,-6.522397,0.07927547,-0.0222717,0
-0.5947115,4.789845,-1.04688,-6.441239,0.1392631,-0.02193227,0
0.7577344,4.86562,0.6668783,-6.548045,-0.1980043,-0.03886851,0
-0.2873422,4.835173,-0.2509358,-6.559922,0.03338827,-0.01595722,0
-0.8307696,4.73837,-0.8821661,-6.426831,-0.2219085,-0.03134182,0
0.9554384,4.807972,0.8158054,-6.530965,-0.008167937,-0.0307313,0
0.07839543,4.247559,-0.5121689,-6.520954,-0.1819647,-0.02533589,0
-0.09943786,4.82207,0.2742209,-6.511803,-0.183276,-0.02671329,0
-0.752417,4.773499,0.001804327,-6.482345,0.5727248,-0.0179346,0
-0.7557183,4.788943,0.1377183,-6.463914,-0.2012319,-0.02590523,0
0.2635044,4.845132,0.8061051,-6.548418,-0.04728758,-0.02544552,0
0.2452082,4.759632,-0.366263,-6.523561,0.3621675,-0.01168663,0
-0.4307317,4.706022,-0.3765291,-6.42931,-0.462522,-0.03517248,0
-0.8405498,4.699804,-0.5510848,-6.474565,0.08676521,-0.02382067,0
-0.7605678,4.747279,-0.1790807,-6.485614,-0.1237457,-0.02163042,0
0.2252819,4.811786,0.5650222,-6.528847,0.2818525,-0.01676714,0
0.4333845,4.207781,-0.1606181,-6.637525,0.19798,-0.01385731,0
0.3442822,4.760024,0.1200945,-6.597606,-0.3181146,-0.02653556,0
-1.064356,4.753254,0.6000209,-6.479944,-0.0645216,-0.02929168,0
0.1081508,4.717223,-0.3173732,-6.615538,0.01303313,-0.01522452,0
-1.38448,4.743026,-0.1210397,-6.462277,0.19249,-0.01899927,0
0.5634326,4.777268,0.5344088,-6.604287,0.3514764,-0.02203855,0
-0.1864376,4.657475,-0.5321797,-6.536944,-0.1401145,-0.03422176,0
-0.3696432,4.667902,-0.5682234,-6.516058,-0.1197807,-0.02128967,0
0.3278019,4.756045,0.9732937,-6.576491,-0.5143051,-0.03144019,0
-0.1076669,4.590268,-1.142776,-6.516194,0.0107449,-0.02392507,0
0.2963425,4.212315,0.6416296,-6.581123,0.1946557,-0.01685276,0
-0.2195704,4.624008,-0.6535018,-6.541374,0.575892,-0.006021674,0
-0.8389213,4.696937,0.3193638,-6.497039,-0.4634815,-0.01790246,0
0.1968891,4.641102,-0.6092913,-6.589941,0.1135706,-0.02562385,0
-0.4397961,4.689978,0.1862822,-6.559448,-0.2026464,-0.04371513,0
0.3543096,4.701495,0.003749272,-6.534004,0.1908194,-0.0009757383,0
1.481322,4.624336,0.007787318,-6.681235,1.606128,0.05690052,0
1.361312,4.560564,-1.726265,-6.587908,0.1572588,-0.0007910283,0
1.875042,4.421553,-1.438312,-6.643099,-0.8865493,-0.04270143,0
-1.401168,4.697164,0.9734558,-6.465586,-1.510981,-0.1033744,0
-3.430009,5.109691,6.508041,-6.330684,-3.721166,-0.2132389,0
-3.815131,5.101356,6.193505,-6.16837,-0.2788003,-0.1957506,0
-3.321253,5.040359,3.402591,-6.404303,0.2624421,-0.1781255,0
4.05946,4.755927,-2.027185,-6.653161,0.3845287,-0.1913766,0
